question_bank_code,question_code,question_type_code,stem,options_json,answer_text,analysis_text
general_purpose_programming_bank,general_purpose_programming_bank_q011,multiple_choice,做基础调试时，哪些步骤比较合理？,"[{""key"": ""A"", ""text"": ""先复现问题""}, {""key"": ""B"", ""text"": ""先查看相关输入和日志""}, {""key"": ""C"", ""text"": ""在不理解原因时直接大面积删除代码""}, {""key"": ""D"", ""text"": ""逐步缩小问题范围""}]",A、B、D,调试的关键是复现、观察和缩小范围，这比盲目修改更有效。
general_purpose_programming_bank,general_purpose_programming_bank_q012,multiple_choice,关于良好的函数设计，哪些描述是恰当的？,"[{""key"": ""A"", ""text"": ""职责单一""}, {""key"": ""B"", ""text"": ""输入输出尽量清晰""}, {""key"": ""C"", ""text"": ""参数越多越能体现专业性""}, {""key"": ""D"", ""text"": ""命名应尽量表达用途""}]",A、B、D,函数设计重在单一职责、清晰接口和可读命名。
general_purpose_programming_bank,general_purpose_programming_bank_q013,true_false,数组或列表的下标通常从 0 开始。对还是错？,"[{""key"": ""A"", ""text"": ""对""}, {""key"": ""B"", ""text"": ""错""}]",对,多数常见语言采用从 0 开始的下标约定，便于地址偏移计算。
general_purpose_programming_bank,general_purpose_programming_bank_q014,true_false,把逻辑拆分成多个小函数通常有助于维护。对还是错？,"[{""key"": ""A"", ""text"": ""对""}, {""key"": ""B"", ""text"": ""错""}]",对,拆分函数可以降低单个模块复杂度，提升复用和测试效率。
general_purpose_programming_bank,general_purpose_programming_bank_q015,true_false,递归函数只要写了函数名，就不需要终止条件。对还是错？,"[{""key"": ""A"", ""text"": ""对""}, {""key"": ""B"", ""text"": ""错""}]",错,没有终止条件的递归会无限调用下去，最终导致栈溢出。
general_purpose_programming_bank,general_purpose_programming_bank_q016,true_false,异常处理应该尽量只用于真正的异常情况，而不是取代正常业务分支。对还是错？,"[{""key"": ""A"", ""text"": ""对""}, {""key"": ""B"", ""text"": ""错""}]",对,把异常和正常流程混用会让代码更难读，也更难排查。
general_purpose_programming_bank,general_purpose_programming_bank_q017,short_answer,简要说明编译型语言和解释型语言的区别。,,编译型语言通常先把源代码转换成可执行文件或目标代码，再运行；解释型语言通常在运行时边解释边执行。不同语言也可能采用混合方式。,抓住“是否先编译”和“运行时如何执行”这两个核心点即可。
general_purpose_programming_bank,general_purpose_programming_bank_q018,short_answer,为什么单元测试对程序开发很重要？,,单元测试可以验证单个函数或模块是否按预期工作，帮助尽早发现回归问题，也便于重构时确认行为没有被破坏。,重点在尽早发现问题、保护重构和提高回归检测能力。
general_purpose_programming_bank,general_purpose_programming_bank_q019,short_answer,当一个程序出现重复代码时，通常应该如何处理？,,可以把重复逻辑抽取成函数、类或公共模块，减少冗余并统一维护入口。,抽取公共逻辑是提升可维护性的常见做法。
general_purpose_programming_bank,general_purpose_programming_bank_q020,short_answer,如果你要定位一个偶发 bug，第一步通常应该做什么？,,先尽量稳定复现问题，记录输入、环境和日志，再缩小排查范围。,偶发问题最怕信息不足，复现和记录环境是优先级最高的动作。
general_purpose_programming_bank,general_purpose_programming_bank_q021,coding,"编写一个函数 `count_vowels(text)`，统计字符串中元音字母 `a, e, i, o, u` 的出现次数，忽略大小写。",,可先统一转为小写，再遍历统计字符是否属于元音集合，返回计数结果。,考查字符串遍历、集合判断和基本函数设计，重点是大小写统一处理。
general_purpose_programming_bank,general_purpose_programming_bank_q022,coding,编写一个函数 `remove_duplicates(nums)`，接收整数列表，返回去重后的列表，并保持第一次出现的顺序。,,可使用集合记录已出现元素，遍历列表时只把第一次出现的数字加入结果列表。,这个题同时考查遍历、去重思路以及顺序保持。
general_purpose_programming_bank,general_purpose_programming_bank_q023,coding,编写一个函数 `is_palindrome(text)`，判断字符串是否为回文，忽略空格和大小写。,,可先去掉空格并转成统一大小写，再用双指针或反转字符串比较是否一致。,关键是预处理输入，再比较两端或与反转结果是否相同。
general_purpose_programming_bank,general_purpose_programming_bank_q024,coding,编写一个函数 `sum_even(nums)`，返回列表中所有偶数元素的和。,,遍历列表，判断元素是否能被 2 整除，若是则累加到总和并返回。,这是基础循环和条件判断题，重点是正确筛选偶数并累加。
backend_development_bank,backend_development_bank_q001,single_choice,在 REST 风格接口中，创建新资源后最常见的响应状态码是哪个？,"[{""key"": ""A"", ""text"": ""200""}, {""key"": ""B"", ""text"": ""201""}, {""key"": ""C"", ""text"": ""302""}, {""key"": ""D"", ""text"": ""500""}]",B,201 表示资源已成功创建，通常会在响应中返回新资源地址。
backend_development_bank,backend_development_bank_q002,single_choice,HTTP 方法中，哪个更适合表达“对资源进行部分更新”？,"[{""key"": ""A"", ""text"": ""GET""}, {""key"": ""B"", ""text"": ""POST""}, {""key"": ""C"", ""text"": ""PATCH""}, {""key"": ""D"", ""text"": ""DELETE""}]",C,PATCH 通常用于部分更新，PUT 更常用于整体替换资源。
backend_development_bank,backend_development_bank_q003,single_choice,关于幂等性，下面哪一项更准确？,"[{""key"": ""A"", ""text"": ""同样请求重复执行，结果保持一致""}, {""key"": ""B"", ""text"": ""所有请求都必须返回相同文本""}, {""key"": ""C"", ""text"": ""只要是 POST 就一定幂等""}, {""key"": ""D"", ""text"": ""只有数据库操作才有幂等性""}]",A,幂等性强调重复执行对系统状态的影响保持一致，常见于 PUT、DELETE 等方法。
backend_development_bank,backend_development_bank_q004,single_choice,为了防止 SQL 注入，最常用也最推荐的做法是什么？,"[{""key"": ""A"", ""text"": ""把用户输入直接拼接进 SQL 字符串""}, {""key"": ""B"", ""text"": ""使用参数化查询或预编译语句""}, {""key"": ""C"", ""text"": ""把 SQL 写得越长越安全""}, {""key"": ""D"", ""text"": ""只要前端过滤过就不用管后端""}]",B,参数化查询能把数据和指令分离，是防注入的核心手段。
backend_development_bank,backend_development_bank_q005,single_choice,在 Web 登录场景中，Session 和 Token 的区别，哪一项更接近事实？,"[{""key"": ""A"", ""text"": ""Session 一般保存在服务端，Token 常用于客户端携带身份信息""}, {""key"": ""B"", ""text"": ""Token 只能用于浏览器，不能用于移动端""}, {""key"": ""C"", ""text"": ""Session 和 Token 没有任何使用差异""}, {""key"": ""D"", ""text"": ""Session 一定比 Token 更安全""}]",A,Session 通常依赖服务端存储状态，Token 则更常用于无状态认证方案。
backend_development_bank,backend_development_bank_q006,single_choice,事务的核心作用是什么？,"[{""key"": ""A"", ""text"": ""让数据库只读""}, {""key"": ""B"", ""text"": ""把一组操作作为整体成功或失败地执行""}, {""key"": ""C"", ""text"": ""让查询语句自动变快""}, {""key"": ""D"", ""text"": ""避免任何并发访问""}]",B,事务保证原子性等特性，适合处理需要一致性的多步操作。
backend_development_bank,backend_development_bank_q007,single_choice,下面哪一项更适合作为缓存的典型用途？,"[{""key"": ""A"", ""text"": ""存储频繁读取但不常变化的数据""}, {""key"": ""B"", ""text"": ""永久替代所有数据库数据""}, {""key"": ""C"", ""text"": ""保证每次都读取最新且最慢的数据源""}, {""key"": ""D"", ""text"": ""解决所有业务逻辑错误""}]",A,缓存适合读多写少的热点数据，目的是降低延迟和后端压力。
backend_development_bank,backend_development_bank_q008,single_choice,在后端中，middleware 通常用于什么？,"[{""key"": ""A"", ""text"": ""在请求进入业务处理前后做统一处理""}, {""key"": ""B"", ""text"": ""只用于前端页面渲染""}, {""key"": ""C"", ""text"": ""替代数据库""}, {""key"": ""D"", ""text"": ""自动生成业务需求文档""}]",A,中间件常用于认证、日志、跨域、限流等横切逻辑。
backend_development_bank,backend_development_bank_q009,multiple_choice,关于 RESTful API 设计，哪些说法比较合理？,"[{""key"": ""A"", ""text"": ""资源路径应尽量表达名词""}, {""key"": ""B"", ""text"": ""不同 HTTP 方法可以表达不同操作语义""}, {""key"": ""C"", ""text"": ""接口返回结构应尽量稳定""}, {""key"": ""D"", ""text"": ""接口路径越长越专业""}]",A、B、C,REST 设计通常强调资源导向、方法语义清晰和返回格式稳定。
backend_development_bank,backend_development_bank_q010,multiple_choice,以下哪些情况可能直接导致接口返回 500 错误？,"[{""key"": ""A"", ""text"": ""代码中未捕获的运行时异常""}, {""key"": ""B"", ""text"": ""数据库连接失败""}, {""key"": ""C"", ""text"": ""客户端请求参数格式错误但已被正常校验并返回 400""}, {""key"": ""D"", ""text"": ""服务端空指针或下标越界""}]",A、B、D,500 通常表示服务端内部错误，常见原因是异常未处理或依赖不可用。
backend_development_bank,backend_development_bank_q011,multiple_choice,关于 ORM 工具，哪些说法是对的？,"[{""key"": ""A"", ""text"": ""可以减少直接拼写 SQL 的工作量""}, {""key"": ""B"", ""text"": ""复杂查询场景仍可能需要原生 SQL""}, {""key"": ""C"", ""text"": ""使用 ORM 后就不需要理解数据库""}, {""key"": ""D"", ""text"": ""对象与表的映射是其核心功能之一""}]",A、B、D,ORM 能提高开发效率，但并不等于完全隐藏数据库细节。
backend_development_bank,backend_development_bank_q012,multiple_choice,记录后端日志时，哪些内容通常适合保留？,"[{""key"": ""A"", ""text"": ""请求 ID""}, {""key"": ""B"", ""text"": ""错误堆栈""}, {""key"": ""C"", ""text"": ""用户密码明文""}, {""key"": ""D"", ""text"": ""关键业务事件""}]",A、B、D,日志应帮助排障和追踪，但敏感信息如密码绝不能明文记录。
backend_development_bank,backend_development_bank_q013,true_false,GET 请求通常不应该修改服务器端资源状态。对还是错？,"[{""key"": ""A"", ""text"": ""对""}, {""key"": ""B"", ""text"": ""错""}]",对,GET 语义上应是读取操作，避免把副作用写在查询里。
backend_development_bank,backend_development_bank_q014,true_false,401 表示资源不存在。对还是错？,"[{""key"": ""A"", ""text"": ""对""}, {""key"": ""B"", ""text"": ""错""}]",错,401 是未认证，资源不存在通常更接近 404。
backend_development_bank,backend_development_bank_q015,true_false,数据库事务失败后，通常应该回滚已执行的修改。对还是错？,"[{""key"": ""A"", ""text"": ""对""}, {""key"": ""B"", ""text"": ""错""}]",对,回滚是事务一致性的重要保障，避免只完成一半的更新。
backend_development_bank,backend_development_bank_q016,true_false,限流可以帮助保护接口免受突发流量或恶意请求冲击。对还是错？,"[{""key"": ""A"", ""text"": ""对""}, {""key"": ""B"", ""text"": ""错""}]",对,限流是后端稳定性常见手段，能控制请求速率并保护下游。
backend_development_bank,backend_development_bank_q017,short_answer,简要说明认证和授权的区别。,,认证是确认“你是谁”，授权是确认“你能做什么”。通常先认证，再判断是否有权限访问资源。,区分身份确认和权限控制，是后端基础中的基础。
backend_development_bank,backend_development_bank_q018,short_answer,为什么后端接口需要做输入校验？,,输入校验可以防止非法数据进入业务流程，减少异常和安全风险，也能让接口错误更早、更明确地返回。,校验同时关系到稳定性、数据质量和安全性。
backend_development_bank,backend_development_bank_q019,short_answer,什么是分层架构中的 service 层？,,service 层通常承载核心业务规则和流程编排，负责协调控制器、数据访问层和其他依赖。,service 层的重点是业务逻辑，而不是直接处理 HTTP 细节。
backend_development_bank,backend_development_bank_q020,short_answer,如果缓存数据和数据库数据不一致，常见的处理思路是什么？,,常见做法包括更新数据库后删除或更新缓存、设置合理过期时间，以及结合一致性策略降低脏读风险。,重点是理解缓存一致性问题和常见的失效/更新策略。
backend_development_bank,backend_development_bank_q021,coding,"编写一个函数 `build_page_info(page, page_size)`，返回分页查询常用的 `offset` 和 `limit`。要求参数非法时进行基本保护。",,可先将 page 和 page_size 转为整数并校验最小值，再计算 offset = (page - 1) * page_size，limit = page_size。,这是典型的后端基础代码题，重点是分页计算和参数校验。
backend_development_bank,backend_development_bank_q022,coding,编写一个简单的函数 `map_status(error_type)`，根据错误类型返回对应 HTTP 状态码，例如鉴权失败返回 401，参数错误返回 400，其余返回 500。,,可用条件分支或映射表实现：认证/授权失败返回 401，参数校验失败返回 400，未处理异常返回 500。,考查接口错误分类和 HTTP 状态码的基本对应关系。
backend_development_bank,backend_development_bank_q023,coding,编写一个函数 `is_safe_sql_input(text)`，用于判断输入中是否包含常见危险字符组合，如 `--`、`;` 或 `OR 1=1` 这类模式，并返回布尔值。,,可先统一大小写，再检测是否包含常见高风险模式；但实际防 SQL 注入应优先使用参数化查询，而不是只靠字符串过滤。,这题的重点不在完美拦截，而在理解字符串过滤的局限和参数化查询的必要性。
backend_development_bank,backend_development_bank_q024,coding,编写一个函数 `retry_request(times)` 的伪实现思路：当外部调用失败时，最多重试指定次数，并在每次失败后记录一次日志。,,可以用循环包裹调用逻辑，失败时记录日志并继续重试；达到最大次数后抛出或返回失败结果。,这是后端常见的容错设计题，关注重试边界和日志记录位置。
postgraduate_math_bank,postgraduate_math_bank_q001,single_choice,"设函数 f(x)=x^3-3x+1，则 f(x) 在区间 [-1,2] 上的最大值为多少？","[{""key"": ""A"", ""text"": ""-1""}, {""key"": ""B"", ""text"": ""1""}, {""key"": ""C"", ""text"": ""2""}, {""key"": ""D"", ""text"": ""3""}]",D,先求导得 f'(x)=3x^2-3=3(x-1)(x+1)，比较端点与驻点处函数值：f(-1)=3，f(1)=-1，f(2)=3，所以最大值为 3。
postgraduate_math_bank,postgraduate_math_bank_q002,single_choice,已知数列 a_n 满足 a_{n+1}=\frac12 a_n，且 a_1=8，则 a_n=？,"[{""key"": ""A"", ""text"": ""8\\cdot (1/2)^{n-1}""}, {""key"": ""B"", ""text"": ""4\\cdot (1/2)^n""}, {""key"": ""C"", ""text"": ""8\\cdot 2^{n-1}""}, {""key"": ""D"", ""text"": ""4\\cdot 2^{n-1}""}]",A,这是等比数列，公比 q=1/2，通项公式为 a_n=a_1q^{n-1}=8\cdot(1/2)^{n-1}。
postgraduate_math_bank,postgraduate_math_bank_q003,single_choice,二维随机变量 X 与 Y 独立，且 E(X)=2，E(Y)=-1，则 E(X+Y)=？,"[{""key"": ""A"", ""text"": ""-2""}, {""key"": ""B"", ""text"": ""0""}, {""key"": ""C"", ""text"": ""1""}, {""key"": ""D"", ""text"": ""3""}]",C,期望具有线性性，不需要独立性也成立，所以 E(X+Y)=E(X)+E(Y)=2+(-1)=1。
postgraduate_math_bank,postgraduate_math_bank_q004,single_choice,矩阵 A=\begin{pmatrix}1&1\\1&1\end{pmatrix} 的秩为多少？,"[{""key"": ""A"", ""text"": ""0""}, {""key"": ""B"", ""text"": ""1""}, {""key"": ""C"", ""text"": ""2""}, {""key"": ""D"", ""text"": ""4""}]",B,两行（列）完全相同，且矩阵不为零矩阵，因此只有一条线性无关的行/列，秩为 1。
postgraduate_math_bank,postgraduate_math_bank_q005,single_choice,函数 y=\ln x 在 x=1 处的导数值为多少？,"[{""key"": ""A"", ""text"": ""0""}, {""key"": ""B"", ""text"": ""1""}, {""key"": ""C"", ""text"": ""-1""}, {""key"": ""D"", ""text"": ""e""}]",B,y'=1/x，代入 x=1 得 y'(1)=1。
postgraduate_math_bank,postgraduate_math_bank_q006,single_choice,若极限 lim_{x\to 0} \frac{\sin x}{x}=1，则可直接推出下列哪一项成立？,"[{""key"": ""A"", ""text"": ""sin x 与 x 在 x→0 时同阶无穷小""}, {""key"": ""B"", ""text"": ""sin x 与 x 在任意点都相等""}, {""key"": ""C"", ""text"": ""cos x 的极限不存在""}, {""key"": ""D"", ""text"": ""x/\\sin x 在 x→0 时发散""}]",A,由极限等于 1 可知 sin x ~ x（x→0），即二者是同阶无穷小。
postgraduate_math_bank,postgraduate_math_bank_q007,multiple_choice,下列关于可导函数的结论，哪些正确？,"[{""key"": ""A"", ""text"": ""可导一定连续""}, {""key"": ""B"", ""text"": ""连续一定可导""}, {""key"": ""C"", ""text"": ""可导函数在局部极值点处导数可能为 0""}, {""key"": ""D"", ""text"": ""若 f'(x)>0，则 f(x) 单调递增""}]","A,C,D",A、C、D 都是基本性质；连续不一定可导，例如 |x| 在 0 处不可导。
postgraduate_math_bank,postgraduate_math_bank_q008,multiple_choice,关于二重积分，以下哪些表述正确？,"[{""key"": ""A"", ""text"": ""在可积区域上，二重积分可以表示面积或质量""}, {""key"": ""B"", ""text"": ""被积函数非负时，积分值必非负""}, {""key"": ""C"", ""text"": ""交换积分次序总是合法的""}, {""key"": ""D"", ""text"": ""对称区域上可利用奇偶性简化计算""}]","A,B,D",A、B、D 成立；C 不总成立，交换积分次序需满足相应的可积或区域条件。
postgraduate_math_bank,postgraduate_math_bank_q009,multiple_choice,"设向量组 {a,b,c} 线性相关，则下列说法正确的是哪些？","[{""key"": ""A"", ""text"": ""其中至少有一个向量可由其余向量线性表示""}, {""key"": ""B"", ""text"": ""该向量组的秩一定小于向量个数""}, {""key"": ""C"", ""text"": ""三向量张成的空间一定是二维""}, {""key"": ""D"", ""text"": ""若三个向量中有一个零向量，则必线性相关""}]","A,B,D",线性相关意味着存在非零线性组合为零，因此至少一个向量可由其余向量表示，秩小于个数；含零向量必相关。
postgraduate_math_bank,postgraduate_math_bank_q010,multiple_choice,对级数 \sum_{n=1}^{\infty} \frac{1}{n^p}，以下结论正确的是哪些？,"[{""key"": ""A"", ""text"": ""当 p>1 时收敛""}, {""key"": ""B"", ""text"": ""当 p\\le 1 时发散""}, {""key"": ""C"", ""text"": ""当 p=1 时是调和级数""}, {""key"": ""D"", ""text"": ""当 p<0 时一定收敛""}]","A,B,C",这是 p-级数判别：p>1 收敛，p\le1 发散；p=1 时就是调和级数。
postgraduate_math_bank,postgraduate_math_bank_q011,true_false,若函数在某点可导，则它在该点必连续。,"[{""key"": ""A"", ""text"": ""正确""}, {""key"": ""B"", ""text"": ""错误""}]",A,可导是比连续更强的条件，因此可导必连续。
postgraduate_math_bank,postgraduate_math_bank_q012,true_false,若两个事件独立，则它们一定互斥。,"[{""key"": ""A"", ""text"": ""正确""}, {""key"": ""B"", ""text"": ""错误""}]",B,独立与互斥是不同概念，只有在特殊情况下才可能同时成立，通常不能混为一谈。
postgraduate_math_bank,postgraduate_math_bank_q013,short_answer,求函数 f(x)=x^2e^x 的导数，并说明其极值点的判定思路。,,f'(x)=2xe^x+x^2e^x=e^x(x^2+2x)=xe^x(x+2)。极值点由 f'(x)=0 得 x=0 或 x=-2，再结合符号变化判断：x=-2 为极大或极小点之一，x=0 也需由符号表确定。,乘积求导后先找驻点，再用一阶导数符号变化判断极值类型，这是考研常见步骤。
postgraduate_math_bank,postgraduate_math_bank_q014,short_answer,简述定积分 \int_a^b f(x)dx 的几何意义，并说明当 f(x)\ge0 时它与面积的关系。,,"定积分表示曲线 y=f(x) 与 x 轴在 [a,b] 上围成的代数面积。若 f(x)\ge0，则积分值等于该曲线下方面积；若函数有正有负，则积分反映带符号面积。",要区分“代数面积”和“几何面积”，这是定积分题里最容易丢分的点。
postgraduate_math_bank,postgraduate_math_bank_q015,short_answer,已知矩阵 A 的行列式不为 0，能推出什么结论？请写出两点。,,可推出矩阵 A 可逆；也可推出 A 的秩等于矩阵阶数，线性方程组 Ax=b 对任意 b 都有唯一解。,行列式非零是可逆、满秩、唯一解这几类结论的核心入口。
postgraduate_math_bank,postgraduate_math_bank_q016,short_answer,说明如何判断一元函数在区间上的单调性，并给出常用步骤。,,先求导得到 f'(x)，再找临界点和不可导点，把区间分段后判断导数符号。若 f'(x)>0，则函数递增；若 f'(x)<0，则函数递减。,导数符号表是考研数学分析的基础方法，步骤要完整。
postgraduate_math_bank,postgraduate_math_bank_q017,short_answer,什么是“二阶导数判别法”？它通常用于判断什么问题？,,二阶导数判别法是先求出临界点，再看该点处二阶导数的符号：若 f''(x0)>0，通常说明 x0 处为极小值点；若 f''(x0)<0，通常说明 x0 处为极大值点。,它是极值判定的快捷方法，但前提是临界点附近满足相应可导条件。
postgraduate_math_bank,postgraduate_math_bank_q018,short_answer,简述“概率独立”和“条件概率”之间的区别。,,条件概率描述“在事件 B 已发生的条件下，事件 A 发生的概率”；独立则表示事件 A 的发生不受 B 的影响，即 P(A|B)=P(A)，等价于 P(AB)=P(A)P(B)。,这类概念题常考公式与语言表述的对应关系，答题时要同时写出定义和等价式。
postgraduate_math_bank,postgraduate_math_bank_q019,calculation,计算极限 lim_{x\to0} \frac{e^x-1-x}{x^2}。,,1/2,利用泰勒展开 e^x=1+x+x^2/2+o(x^2)，代入后直接得到极限为 1/2。
postgraduate_math_bank,postgraduate_math_bank_q020,calculation,"求积分 \int_0^1 x\ln x\,dx。",,-1/4,"分部积分，取 u=\ln x，dv=x dx，可化为 \left[\frac{x^2}{2}\ln x\right]_0^1-\frac12\int_0^1 x\,dx=-1/4。"
postgraduate_math_bank,postgraduate_math_bank_q021,calculation,求矩阵 A=\begin{pmatrix}2&1\\1&2\end{pmatrix} 的特征值。,,3 和 1,"解特征方程 |A-\lambda I|=(2-\lambda)^2-1=0，得 \lambda=3,1。"
postgraduate_math_bank,postgraduate_math_bank_q022,calculation,设随机变量 X 服从参数为 2 的泊松分布，求 P(X=0)。,,e^{-2},泊松分布 P(X=k)=e^{-\lambda}\lambda^k/k!，代入 \lambda=2、k=0 即得 e^{-2}。
postgraduate_math_bank,postgraduate_math_bank_q023,calculation,求微分方程 y'=y 的通解，并写出满足 y(0)=3 的特解。,,通解为 y=Ce^x；满足 y(0)=3 的特解为 y=3e^x。,分离变量可得 dy/y=dx，积分后得到指数型解，再代入初值确定常数。
postgraduate_math_bank,postgraduate_math_bank_q024,calculation,计算级数 \sum_{n=1}^{\infty} \left(\frac13\right)^n 的和。,,1/2,这是首项为 1/3、公比为 1/3 的等比级数，和为 (1/3)/(1-1/3)=1/2。
teacher_certificate_bank,teacher_certificate_bank_q001,single_choice,学生在课堂上回答错误后情绪低落，教师最恰当的做法是：,"[{""key"": ""A"", ""text"": ""立即批评，以免其他学生效仿""}, {""key"": ""B"", ""text"": ""先肯定参与，再用引导性问题帮助其修正""}, {""key"": ""C"", ""text"": ""直接忽略，避免耽误课堂进度""}, {""key"": ""D"", ""text"": ""让同学公开指出错误，以增强记忆""}]",B,教师应兼顾课堂秩序与学生自尊，先肯定后纠错更符合教育性与激励性原则。
teacher_certificate_bank,teacher_certificate_bank_q002,single_choice,以下哪一项最符合“启发性教学原则”？,"[{""key"": ""A"", ""text"": ""教师把结论直接告诉学生""}, {""key"": ""B"", ""text"": ""教师通过提问引导学生自己发现规律""}, {""key"": ""C"", ""text"": ""教师只要求学生机械背诵""}, {""key"": ""D"", ""text"": ""教师减少互动，避免分散注意力""}]",B,启发性强调引导学生主动思考、主动建构，而不是把答案一次性灌输给学生。
teacher_certificate_bank,teacher_certificate_bank_q003,single_choice,“最近发展区”理论主要与哪位教育家相关？,"[{""key"": ""A"", ""text"": ""夸美纽斯""}, {""key"": ""B"", ""text"": ""维果茨基""}, {""key"": ""C"", ""text"": ""皮亚杰""}, {""key"": ""D"", ""text"": ""杜威""}]",B,最近发展区是维果茨基的重要观点，强调学生独立水平与潜在发展水平之间的差距。
teacher_certificate_bank,teacher_certificate_bank_q004,single_choice,班主任在处理班级冲突时，优先应考虑的是：,"[{""key"": ""A"", ""text"": ""让双方当众认错""}, {""key"": ""B"", ""text"": ""迅速定责并结束谈话""}, {""key"": ""C"", ""text"": ""了解事实、稳定情绪、促进双方沟通""}, {""key"": ""D"", ""text"": ""将冲突交给学生自行解决，不必介入""}]",C,班主任处理冲突要遵循教育性、客观性和发展性，先稳情绪再谈事实与修复。
teacher_certificate_bank,teacher_certificate_bank_q005,single_choice,以下哪一项属于形成性评价？,"[{""key"": ""A"", ""text"": ""期末统一考试""}, {""key"": ""B"", ""text"": ""单元学习后的课堂小测并反馈""}, {""key"": ""C"", ""text"": ""毕业资格考试""}, {""key"": ""D"", ""text"": ""升学选拔考试""}]",B,形成性评价重在学习过程中的反馈与改进，课堂小测和即时反馈最具代表性。
