series_code,module_code,module_name,stage_no,lesson_count,total_hours,module_keywords
data_and_quantitative_analysis_practice,data_and_quantitative_analysis_practice_m2,用户与经营分析框架,2,8,16,"[""数据与定量分析"", ""建模分析"", ""应用实践""]"
data_and_quantitative_analysis_practice,data_and_quantitative_analysis_practice_m3,分析报告写作实践,3,10,20,"[""数据与定量分析"", ""建模分析"", ""应用实践""]"
data_compliance_advanced,data_compliance_advanced_m1,数据资产盘点与治理机制,1,8,16,"[""数据合规"", ""隐私保护"", ""治理机制""]"
data_compliance_advanced,data_compliance_advanced_m2,跨部门协同与责任分工,2,8,16,"[""数据合规"", ""隐私保护"", ""治理机制""]"
data_compliance_advanced,data_compliance_advanced_m3,制度优化与复盘闭环,3,10,20,"[""数据合规"", ""隐私保护"", ""治理机制""]"
data_compliance_foundation,data_compliance_foundation_m1,数据合规框架与法规认知,1,6,12,"[""数据合规"", ""隐私保护"", ""治理机制""]"
data_compliance_foundation,data_compliance_foundation_m2,敏感数据识别与分级,2,8,16,"[""数据合规"", ""隐私保护"", ""治理机制""]"
data_compliance_foundation,data_compliance_foundation_m3,典型风险场景梳理,3,8,16,"[""数据合规"", ""隐私保护"", ""治理机制""]"
data_compliance_practice,data_compliance_practice_m1,授权告知与最小必要原则,1,8,16,"[""数据合规"", ""隐私保护"", ""治理机制""]"
data_compliance_practice,data_compliance_practice_m2,隐私保护流程与审计留痕,2,8,16,"[""数据合规"", ""隐私保护"", ""治理机制""]"
data_compliance_practice,data_compliance_practice_m3,业务案例与整改演练,3,8,16,"[""数据合规"", ""隐私保护"", ""治理机制""]"
data_engineering_advanced,data_engineering_advanced_m1,湖仓一体架构设计,1,8,16,"[""数据工程"", ""项目实践"", ""工程能力""]"
data_engineering_advanced,data_engineering_advanced_m2,平台化治理与成本优化,2,10,20,"[""数据工程"", ""项目实践"", ""工程能力""]"
data_engineering_advanced,data_engineering_advanced_m3,企业级平台案例拆解,3,12,24,"[""数据工程"", ""项目实践"", ""工程能力""]"
data_engineering_foundation,data_engineering_foundation_m1,数据仓库建模基础,1,8,16,"[""数据工程"", ""项目实践"", ""工程能力""]"
data_engineering_foundation,data_engineering_foundation_m2,ETL流程与调度认知,2,8,16,"[""数据工程"", ""项目实践"", ""工程能力""]"
data_engineering_foundation,data_engineering_foundation_m3,离线数仓案例入门,3,10,20,"[""数据工程"", ""项目实践"", ""工程能力""]"
data_engineering_practice,data_engineering_practice_m1,实时计算与数据同步,1,8,16,"[""数据工程"", ""项目实践"", ""工程能力""]"
data_engineering_practice,data_engineering_practice_m2,任务编排与质量监控,2,10,20,"[""数据工程"", ""项目实践"", ""工程能力""]"
data_engineering_practice,data_engineering_practice_m3,数仓项目联调与复盘,3,10,20,"[""数据工程"", ""项目实践"", ""工程能力""]"
data_storage_systems_advanced,data_storage_systems_advanced_m1,高可用架构与主从复制,1,8,16,"[""数据存储系统"", ""系统设计"", ""性能优化""]"
data_storage_systems_advanced,data_storage_systems_advanced_m2,慢查询排查与性能优化,2,10,20,"[""数据存储系统"", ""系统设计"", ""性能优化""]"
data_storage_systems_advanced,data_storage_systems_advanced_m3,数据库治理与复盘,3,12,24,"[""数据存储系统"", ""系统设计"", ""性能优化""]"
data_storage_systems_foundation,data_storage_systems_foundation_m1,关系型数据库建模入门,1,8,16,"[""数据存储系统"", ""系统设计"", ""性能优化""]"
data_storage_systems_foundation,data_storage_systems_foundation_m2,SQL查询与索引基础,2,10,20,"[""数据存储系统"", ""系统设计"", ""性能优化""]"
data_storage_systems_foundation,data_storage_systems_foundation_m3,事务与并发控制认知,3,10,20,"[""数据存储系统"", ""系统设计"", ""性能优化""]"
data_storage_systems_practice,data_storage_systems_practice_m1,存储过程与数据开发实践,1,8,16,"[""数据存储系统"", ""系统设计"", ""性能优化""]"
data_storage_systems_practice,data_storage_systems_practice_m2,NoSQL与缓存协同,2,10,20,"[""数据存储系统"", ""系统设计"", ""性能优化""]"
data_storage_systems_practice,data_storage_systems_practice_m3,数据项目联调与讲评,3,12,24,"[""数据存储系统"", ""系统设计"", ""性能优化""]"
deep_learning_and_perception_advanced,deep_learning_and_perception_advanced_m1,模型压缩与部署优化,1,8,16,"[""深度学习与感知智能"", ""项目实践"", ""工程能力""]"
deep_learning_and_perception_advanced,deep_learning_and_perception_advanced_m2,多卡训练与工程化流程,2,10,20,"[""深度学习与感知智能"", ""项目实践"", ""工程能力""]"
deep_learning_and_perception_advanced,deep_learning_and_perception_advanced_m3,线上推理与性能分析,3,12,24,"[""深度学习与感知智能"", ""项目实践"", ""工程能力""]"
deep_learning_and_perception_foundation,deep_learning_and_perception_foundation_m1,神经网络与训练基础,1,8,16,"[""深度学习与感知智能"", ""项目实践"", ""工程能力""]"
deep_learning_and_perception_foundation,deep_learning_and_perception_foundation_m2,CNN与常见视觉任务,2,8,16,"[""深度学习与感知智能"", ""项目实践"", ""工程能力""]"
deep_learning_and_perception_foundation,deep_learning_and_perception_foundation_m3,入门实验与调参,3,10,20,"[""深度学习与感知智能"", ""项目实践"", ""工程能力""]"
deep_learning_and_perception_practice,deep_learning_and_perception_practice_m1,检测分割与表征学习,1,8,16,"[""深度学习与感知智能"", ""项目实践"", ""工程能力""]"
deep_learning_and_perception_practice,deep_learning_and_perception_practice_m2,数据标注与实验管理,2,10,20,"[""深度学习与感知智能"", ""项目实践"", ""工程能力""]"
deep_learning_and_perception_practice,deep_learning_and_perception_practice_m3,感知项目实践与复盘,3,10,20,"[""深度学习与感知智能"", ""项目实践"", ""工程能力""]"
discrete_and_combinatorial_math_advanced,discrete_and_combinatorial_math_advanced_m1,图论算法与复杂度认知,1,8,16,"[""离散与组合数学"", ""理论进阶"", ""证明训练""]"
discrete_and_combinatorial_math_advanced,discrete_and_combinatorial_math_advanced_m2,匹配、着色与网络流,2,10,20,"[""离散与组合数学"", ""理论进阶"", ""证明训练""]"
discrete_and_combinatorial_math_advanced,discrete_and_combinatorial_math_advanced_m3,综合项目与复盘,3,10,20,"[""离散与组合数学"", ""理论进阶"", ""证明训练""]"
discrete_and_combinatorial_math_foundation,discrete_and_combinatorial_math_foundation_m1,集合关系与图论入门,1,6,12,"[""离散与组合数学"", ""理论进阶"", ""证明训练""]"
discrete_and_combinatorial_math_foundation,discrete_and_combinatorial_math_foundation_m2,计数基础与递推方法,2,8,16,"[""离散与组合数学"", ""理论进阶"", ""证明训练""]"
discrete_and_combinatorial_math_foundation,discrete_and_combinatorial_math_foundation_m3,离散结构训练,3,8,16,"[""离散与组合数学"", ""理论进阶"", ""证明训练""]"
discrete_and_combinatorial_math_practice,discrete_and_combinatorial_math_practice_m1,组合恒等式与生成函数,1,8,16,"[""离散与组合数学"", ""理论进阶"", ""证明训练""]"
discrete_and_combinatorial_math_practice,discrete_and_combinatorial_math_practice_m2,极值组合与构造题,2,8,16,"[""离散与组合数学"", ""理论进阶"", ""证明训练""]"
discrete_and_combinatorial_math_practice,discrete_and_combinatorial_math_practice_m3,专题题型拆解,3,10,20,"[""离散与组合数学"", ""理论进阶"", ""证明训练""]"
distributed_and_cloud_systems_advanced,distributed_and_cloud_systems_advanced_m1,分布式事务与高可用设计,1,8,16,"[""分布式与云系统"", ""系统设计"", ""性能优化""]"
distributed_and_cloud_systems_advanced,distributed_and_cloud_systems_advanced_m2,容量规划与故障演练,2,10,20,"[""分布式与云系统"", ""系统设计"", ""性能优化""]"
distributed_and_cloud_systems_advanced,distributed_and_cloud_systems_advanced_m3,架构复盘与系统设计,3,12,24,"[""分布式与云系统"", ""系统设计"", ""性能优化""]"
distributed_and_cloud_systems_foundation,distributed_and_cloud_systems_foundation_m1,一致性与服务治理基础,1,8,16,"[""分布式与云系统"", ""系统设计"", ""性能优化""]"
distributed_and_cloud_systems_foundation,distributed_and_cloud_systems_foundation_m2,缓存消息队列与注册发现,2,10,20,"[""分布式与云系统"", ""系统设计"", ""性能优化""]"
distributed_and_cloud_systems_foundation,distributed_and_cloud_systems_foundation_m3,分布式案例入门,3,10,20,"[""分布式与云系统"", ""系统设计"", ""性能优化""]"
distributed_and_cloud_systems_practice,distributed_and_cloud_systems_practice_m1,容器化部署与K8s实践,1,8,16,"[""分布式与云系统"", ""系统设计"", ""性能优化""]"
distributed_and_cloud_systems_practice,distributed_and_cloud_systems_practice_m2,链路追踪与可观测性,2,10,20,"[""分布式与云系统"", ""系统设计"", ""性能优化""]"
distributed_and_cloud_systems_practice,distributed_and_cloud_systems_practice_m3,云原生项目联调,3,12,24,"[""分布式与云系统"", ""系统设计"", ""性能优化""]"
first_line_management_advanced,first_line_management_advanced_m1,管理复盘与指标改进,1,8,16,"[""基层管理"", ""管理场景"", ""组织协同""]"
first_line_management_advanced,first_line_management_advanced_m2,跨班组协同与上行沟通,2,8,16,"[""基层管理"", ""管理场景"", ""组织协同""]"
first_line_management_advanced,first_line_management_advanced_m3,晋升述职与管理案例演练,3,10,20,"[""基层管理"", ""管理场景"", ""组织协同""]"
first_line_management_foundation,first_line_management_foundation_m1,从骨干到主管的角色切换,1,6,12,"[""基层管理"", ""管理场景"", ""组织协同""]"
first_line_management_foundation,first_line_management_foundation_m2,日常带教与班组沟通,2,8,16,"[""基层管理"", ""管理场景"", ""组织协同""]"
first_line_management_foundation,first_line_management_foundation_m3,目标分配与执行跟进,3,8,16,"[""基层管理"", ""管理场景"", ""组织协同""]"
first_line_management_practice,first_line_management_practice_m1,排班协同与现场节奏管理,1,8,16,"[""基层管理"", ""管理场景"", ""组织协同""]"
first_line_management_practice,first_line_management_practice_m2,绩效面谈与问题员工处理,2,8,16,"[""基层管理"", ""管理场景"", ""组织协同""]"
